Date,Day,Hospital,Waiting Time,Attendance,BOR,Is_Holiday
2023-02-01,Wednesday,NUH(A),4.1,315.0,83.4,0
2023-02-01,Wednesday,SGH,5.5,347.0,86.4,0
2023-02-01,Wednesday,SKH,14.8,356.0,91.4,0
2023-02-01,Wednesday,TTSH,5.2,402.0,93.5,0
2023-02-01,Wednesday,WH,,,,0
2023-02-02,Thursday,AH,2.6,55.0,90.1,0
2023-02-02,Thursday,CGH,15.8,414.0,88.2,0
2023-02-02,Thursday,KTPH,21.7,306.0,95.6,0
2023-02-02,Thursday,NTFGH,21.5,344.0,90.2,0
2023-02-02,Thursday,NUH(A),3.3,296.0,86.8,0
2023-02-02,Thursday,SGH,9.5,343.0,85.3,0
2023-02-02,Thursday,SKH,13.6,327.0,90.9,0
2023-02-02,Thursday,TTSH,5.0,362.0,94.2,0
2023-02-02,Thursday,WH,,,,0
2023-02-03,Friday,AH,2.6,65.0,84.4,0
2023-02-03,Friday,CGH,15.8,369.0,86.3,0
2023-02-03,Friday,KTPH,7.6,316.0,96.5,0
2023-02-03,Friday,NTFGH,16.2,322.0,91.5,0
2023-02-03,Friday,NUH(A),5.2,308.0,87.8,0
2023-02-03,Friday,SGH,7.4,305.0,85.1,0
2023-02-03,Friday,SKH,10.6,348.0,91.1,0
2023-02-03,Friday,TTSH,5.7,407.0,92.6,0
2023-02-03,Friday,WH,,,,0
2023-02-04,Saturday,AH,1.8,58.0,82.6,0
2023-02-04,Saturday,CGH,12.3,337.0,87.1,0
2023-02-04,Saturday,KTPH,9.4,267.0,98.8,0
2023-02-04,Saturday,NTFGH,6.2,269.0,90.7,0
2023-02-04,Saturday,NUH(A),4.0,261.0,83.5,0
2023-02-04,Saturday,SGH,4.6,276.0,84.4,0
2023-02-04,Saturday,SKH,8.0,325.0,90.4,0
2023-02-04,Saturday,TTSH,4.8,292.0,93.7,0
2023-02-04,Saturday,WH,,,,0
2023-02-05,Sunday,AH,2.0,46.0,87.6,0
2023-02-05,Sunday,CGH,9.2,341.0,88.0,0
2023-02-05,Sunday,KTPH,15.1,280.0,98.8,0
2023-02-05,Sunday,NTFGH,9.3,305.0,92.4,0
2023-02-05,Sunday,NUH(A),3.2,250.0,85.0,0
2023-02-05,Sunday,SGH,3.4,259.0,84.8,0
2023-02-05,Sunday,SKH,7.3,315.0,91.9,0
2023-02-05,Sunday,TTSH,4.0,336.0,96.0,0
2023-02-05,Sunday,WH,,,,0
2023-02-06,Monday,AH,1.4,67.0,94.3,0
2023-02-06,Monday,CGH,19.3,464.0,87.4,0
2023-02-06,Monday,KTPH,27.5,387.0,98.1,0
2023-02-06,Monday,NTFGH,15.5,378.0,92.4,0
2023-02-06,Monday,NUH(A),5.3,346.0,89.4,0
2023-02-06,Monday,SGH,7.5,399.0,86.6,0
2023-02-06,Monday,SKH,17.6,403.0,92.6,0
2023-02-06,Monday,TTSH,7.2,434.0,98.2,0
2023-02-06,Monday,WH,,,,0
2023-02-07,Tuesday,AH,8.9,73.0,94.0,0
2023-02-07,Tuesday,CGH,12.2,396.0,89.6,0
2023-02-07,Tuesday,KTPH,17.8,314.0,97.7,0
2023-02-07,Tuesday,NTFGH,25.8,353.0,92.3,0
2023-02-07,Tuesday,NUH(A),7.7,310.0,89.4,0
